id,date,tweet,replies_count,retweets_count,likes_count,hashtags,cashtags,retweet,video,linked_url,with_photo,company_name,open,high,low,close,adjclose,volume,target_variation
,20200601,,,,,,,,,,,biontech,50.0,53.209999084472656,49.540000915527344,52.29999923706055,52.29999923706055,1275800,0.04397704150310453
,20200602,,,,,,,,,,,biontech,51.97999954223633,52.849998474121094,50.099998474121094,52.38000106811523,52.38000106811523,688500,0.007636531457086878
,20200603,,,,,,,,,,,biontech,51.849998474121094,52.22999954223633,49.540000915527344,51.15999984741211,51.15999984741211,1379900,-0.013487072493489998
,20200604,,,,,,,,,,,biontech,50.45000076293945,51.86000061035156,49.70000076293945,50.0,50.0,623300,-0.009000015258789063
,20200605,,,,,,,,,,,biontech,49.79999923706055,50.22999954223633,48.5,49.18000030517578,49.18000030517578,768700,-0.012606728914955213
,20200608,,,,,,,,,,,biontech,49.22000122070313,49.24100112915039,47.41999816894531,48.77999877929688,48.77999877929688,1142400,-0.009020140475956616
,20200609,,,,,,,,,,,biontech,47.79999923706055,48.099998474121094,46.86999893188477,47.790000915527344,47.790000915527344,970100,-0.0002092136710956746
,20200610,,,,,,,,,,,biontech,47.79999923706055,47.999000549316406,46.54999923706055,47.40999984741211,47.40999984741211,913100,-0.008226099787041568
,20200611,,,,,,,,,,,biontech,49.0,49.18999862670898,47.06999969482422,48.599998474121094,48.599998474121094,1324800,-0.00823048432999236
,20200612,,,,,,,,,,,biontech,49.36999893188477,49.43999862670898,47.0099983215332,48.58000183105469,48.58000183105469,858800,-0.016261775855370055
,20200615,,,,,,,,,,,biontech,48.72000122070313,51.16999816894531,48.290000915527344,50.849998474121094,50.849998474121094,1087500,0.04188785284825487
,20200616,,,,,,,,,,,biontech,51.0,51.5,49.09000015258789,49.9000015258789,49.9000015258789,901100,-0.022044056923537718
,20200617,,,,,,,,,,,biontech,49.75,51.5,49.5,50.849998474121094,50.849998474121094,723000,0.02163222236242371
,20200618,,,,,,,,,,,biontech,49.86000061035156,51.59000015258789,49.83000183105469,50.93999862670898,50.93999862670898,691500,0.021201375058364343
,20200619,,,,,,,,,,,biontech,50.9000015258789,51.58000183105469,49.90999984741211,51.36000061035156,51.36000061035156,735800,0.008956368360711115
,20200622,,,,,,,,,,,biontech,51.95000076293945,58.9000015258789,51.849998474121094,57.45000076293945,57.45000076293945,2678200,0.09573542083480714
,20200623,,,,,,,,,,,biontech,55.61999893188477,56.0,51.52000045776367,52.75,52.75,2142200,-0.05440756268975859
,20200624,,,,,,,,,,,biontech,53.0,55.349998474121094,51.81000137329102,54.72999954223633,54.72999954223633,1344500,0.03160971234617406
,20200625,,,,,,,,,,,biontech,54.5099983215332,59.91999816894531,53.52000045776367,59.709999084472656,59.709999084472656,2406400,0.08708760413114279
,20200626,,,,,,,,,,,biontech,56.63000106811523,63.36999893188477,56.5,62.13000106811523,62.13000106811523,2830700,0.08852406092783037
